china_silk_road_favored_status;Request Trade Contract;Demander un contrat commercial;Handelsvertrag anfordern;;Solicitar contrato comercial;;;;;;;;;x;;;;
EVTOPT_JD_50302a_BROKEN_PEACE_DEAL;Curses, there goes my Peace Deal with Valyria!;Malédictions ! C'en est fini de mon accord de paix avec la Chine !;Verflucht! Da geht mein Friedensvertrag mit Freehold dahin!;;¡Rayos! ¡Se acabó mi acuerdo de paz con Freehold!;;;;;;;;;x;;;;
EVTDESC_JD_50303;After years of confusing warfare and shifting alliances, the Valyrian Civil War is finally over. The old regime has fallen and [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName], a pretender prince of the old [FromFrom.Ruler.Dynasty.GetName] has emerged victorious and now sits upon the Dragon Throne. Things are slowly returning to normal in the Freehold and the Silk Road is safe again.;Après des années de guerre déroutantes et d'alliances changeantes, la guerre civile chinoise est finalement terminée. L'ancien régime a chuté et l'[FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName], un prince prétendant de l'ancienne dynastie [FromFrom.Ruler.Dynasty.GetName] est apparu victorieux et se trouve maintenant sur le Trône du Dragon. Les choses reviennent progressivement à la normale dans l'Freehold du Milieu et la Route de la Soie est sécurisée à nouveau.;Nach Jahren verwirrender Kriegsführung und der Verschiebung von Allianzen ist der chinesische Bürgerkrieg endlich vorbei. Das alte Regime ist gefallen und [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName], ein rechtmäßiger Anwärter auf den Thron ist siegreich gewesen und sitzt nun auf dem Drachenthron. Im mittleren Reich geht es langsam wieder normal zu und die Seidenstraße ist wieder sicher.;;Tras años de enfrentamientos confusos y alianzas cambiantes, la guerra civil china ha terminado por fin. El viejo régimen ha caído y [FromFrom.Ruler.GetEmperorEmpress] [FromFrom.Ruler.GetDynName], pretendiente de la antigua [FromFrom.Ruler.Dynasty.GetName] se ha hecho con la victoria y se sienta ahora en el Trono del dragón. Las cosas vuelven lentamente a la normalidad en el Reino Central y la Ruta de la Seda vuelve a ser segura.;;;;;;;;;x;;;;
china_stable_effect_desc;§Y*§! The value of the Silk Road is unaffected\n§Y*§! Imperial Tributaries can raise Valyrian Regiments to help them in wars;§Y*§! La valeur de la Route de la Soie n'est pas affectée\n§Y*§! Les tributaires impériaux peuvent lever des régiments chinois pour les aider dans les guerres;§Y*§! Der Wert der Seidenstraße bleibt unberührt\n§Y*§! Kaiserliche Tributstaaten können chinesische Regimenter ausheben, die ihnen in Kriegen helfen;;§Y*§! El valor de la Ruta de la Seda no está afectado\n§Y*§! Los tributarios imperiales pueden reclutar regimientos chinos para sus guerras;;;;;;;;;x;;;;
china_unrest_effect_desc;§Y*§! The value of the Silk Road is reduced by §R25%§!\n§Y*§! Imperial Tributaries can §RNOT§! raise Valyrian Regiments to help them in wars\n§Y*§! This Status might result in a §RCivil War§!;§Y*§! La valeur de la Route de la Soie est réduite de §R25%§!\n§Y*§! Les tributaires impériaux ne peuvent pas lever des régiments chinois pour les aider dans les guerres\n§Y*§! Ce statut pourrait finir en §Rguerre civile§!;§Y*§! Der Wert der Seidenstraße ist um §R25%§! reduziert\n§Y*§! Kaiserliche Tributstaaten können §RKEINE§! chinesische Regimenter ausheben, die ihnen in Kriegen helfen\n§Y*§! Dieser Status könnte in einem §RBürgerkrieg§! enden;;§Y*§! El valor de la Ruta de la Seda se reduce en un §R25%§!\n§Y*§! Los tributarios imperiales pueden reclutar regimientos chinos para sus guerras\n§Y*§! Este estatus puede provocar una §RGuerra civil§!;;;;;;;;;x;;;;
china_internal_purge_effect_desc;§Y*§! The value of the Silk Road is reduced by §R25%§!\n§Y*§! Imperial Tributaries can §RNOT§! raise Valyrian Regiments to help them in wars\n§Y*§!;§Y*§! La valeur de la Route de la Soie est réduite de §R25%§!\n§Y*§! Les tributaires impériaux ne peuvent pas lever des régiments chinois pour les aider dans les guerres\n§Y*§! Ce statut pourrait finir en §Rguerre civile§!;§Y*§! Der Wert der Seidenstraße ist um §R25%§! reduziert\n§Y*§! Kaiserliche Tributstaaten können §RKEINE§! chinesische Regimenter ausheben, die ihnen in Kriegen helfen\n§Y*§! Dieser Status könnte in einem §RBürgerkrieg§! enden;;§Y*§! El valor de la Ruta de la Seda se reduce en un §R25%§!\n§Y*§! Los tributarios imperiales pueden reclutar regimientos chinos para sus guerras\n§Y*§! Este estatus puede provocar una §RGuerra civil§!;;;;;;;;;x;;;;
china_economic_ruin_effect_desc;§Y*§! The value of the Silk Road is reduced by §R25%§!\n§Y*§! Imperial Tributaries can §RNOT§! raise Valyrian Regiments to help them in wars\n§Y*§!;§Y*§! La valeur de la Route de la Soie est réduite de §R25%§!\n§Y*§! Les tributaires impériaux ne peuvent pas lever des régiments chinois pour les aider dans les guerres\n§Y*§! Ce statut pourrait finir en §Rguerre civile§!;§Y*§! Der Wert der Seidenstraße ist um §R25%§! reduziert\n§Y*§! Kaiserliche Tributstaaten können §RKEINE§! chinesische Regimenter ausheben, die ihnen in Kriegen helfen\n§Y*§! Dieser Status könnte in einem §RBürgerkrieg§! enden;;§Y*§! El valor de la Ruta de la Seda se reduce en un §R25%§!\n§Y*§! Los tributarios imperiales pueden reclutar regimientos chinos para sus guerras\n§Y*§! Este estatus puede provocar una §RGuerra civil§!;;;;;;;;;x;;;;
china_civil_war_effect_desc;§Y*§! The value of the Silk Road is reduced by §R50%§!\n§Y*§! Imperial Tributaries can §RNOT§! raise Valyrian Regiments\n§Y*§! Imperial Tributaries can Break Free without opposition from Valyria\n§Y*§! Might end with Valyria getting a §RNew Dynasty§!, resetting all §YFavor§!;§Y*§! La valeur de la Route de la Soie est réduite de §R50%§!\n§Y*§! Les tributaires impériaux ne peuvent pas lever des régiments chinois pour les aider dans les guerres\n§Y*§! Les tributaires impériaux peuvent se libérer sans opposition de la part de la Chine\n§Y*§! Pourrait aboutir à une §Rnouvelle dynastie§! en Chine, effaçant toute Grâce;§Y*§! Der Wert der Seidenstraße ist um §R50%§! reduziert\n§Y*§! Kaiserliche Tributstaaten können §RKEINE§! chinesische Regimenter ausheben, die ihnen in Kriegen helfen\n§Y*§! Kaiserliche Tributstaaten können ohne Einwirken von Freehold ihre Unabhängigkeit erlangen\n§Y*§! Kann mit einer §RNeuen Dynastie§! in Freehold enden, was jegliche §YGunst§! zurücksetzt;;§Y*§! El valor de la Ruta de la Seda se reduce en un §R50%§!\n§Y*§! Los tributarios imperiales pueden reclutar regimientos chinos para sus guerras\n§Y*§! Los tributarios imperiales pueden liberarse sin oposición china\n§Y*§! Puede provocar que Freehold tenga una §RNueva dinastía§!, rese teando todas las §Ygracias§!;;;;;;;;;x;;;;
china_ghiscari_invasion_effect_desc;§Y*§! The value of the Silk Road is reduced by §R50%§!\n§Y*§! Imperial Tributaries can §RNOT§! raise Valyrian Regiments\n§Y*§! Valyrian refugees might appear in your court\n§Y*§! Might end with Valyria getting a §RNew Dynasty§!, resetting all §YFavor§!;§Y*§! La valeur de la Route de la Soie est réduite de §R50%§!\n§Y*§! Les tributaires impériaux ne peuvent pas lever des régiments chinois pour les aider dans les guerres\n§Y*§! Des réfugiés chinois pourraient venir à votre Cour\n§Y*§! Pourrait aboutir à une §Rnouvelle dynastie§! en Chine, effaçant toute Grâce;§Y*§! Der Wert der Seidenstraße ist um §R50%§! reduziert\n§Y*§! Kaiserliche Tributstaaten können §RKEINE§! chinesische Regimenter ausheben, die ihnen in Kriegen helfen\n§Y*§! Chinesische Flüchtlinge können an Eurem Hof eintreffen\n§Y*§! Kann mit einer §RNeuen Dynastie§! in Freehold enden, was jegliche §YGunst§! zurücksetzt;;§Y*§! El valor de la Ruta de la Seda se reduce en un §R50%§!\n§Y*§! Los tributarios imperiales NO pueden reclutar regimientos chinos para sus guerras\n§Y*§! Pueden aparecer refugiados chinos en tu corte\n§Y*§! Puede provocar que Freehold tenga una §RNueva dinastía§!, reseteando todas las §Ygracias§!;;;;;;;;;x;;;;
china_rhoynish_invasion_effect_desc;§Y*§! The value of the Silk Road is reduced by §R50%§!\n§Y*§! Imperial Tributaries can §RNOT§! raise Valyrian Regiments\n§Y*§! Valyrian refugees might appear in your court\n§Y*§! Might end with Valyria getting a §RNew Dynasty§!, resetting all §YFavor§!;§Y*§! La valeur de la Route de la Soie est réduite de §R50%§!\n§Y*§! Les tributaires impériaux ne peuvent pas lever des régiments chinois pour les aider dans les guerres\n§Y*§! Des réfugiés chinois pourraient venir à votre Cour\n§Y*§! Pourrait aboutir à une §Rnouvelle dynastie§! en Chine, effaçant toute Grâce;§Y*§! Der Wert der Seidenstraße ist um §R50%§! reduziert\n§Y*§! Kaiserliche Tributstaaten können §RKEINE§! chinesische Regimenter ausheben, die ihnen in Kriegen helfen\n§Y*§! Chinesische Flüchtlinge können an Eurem Hof eintreffen\n§Y*§! Kann mit einer §RNeuen Dynastie§! in Freehold enden, was jegliche §YGunst§! zurücksetzt;;§Y*§! El valor de la Ruta de la Seda se reduce en un §R50%§!\n§Y*§! Los tributarios imperiales NO pueden reclutar regimientos chinos para sus guerras\n§Y*§! Pueden aparecer refugiados chinos en tu corte\n§Y*§! Puede provocar que Freehold tenga una §RNueva dinastía§!, reseteando todas las §Ygracias§!;;;;;;;;;x;;;;
china_dothraki_invasion_effect_desc;§Y*§! The value of the Silk Road is reduced by §R50%§!\n§Y*§! Imperial Tributaries can §RNOT§! raise Valyrian Regiments\n§Y*§! Valyrian refugees might appear in your court\n§Y*§! Might end with Valyria getting a §RNew Dynasty§!, resetting all §YFavor§!;§Y*§! La valeur de la Route de la Soie est réduite de §R50%§!\n§Y*§! Les tributaires impériaux ne peuvent pas lever des régiments chinois pour les aider dans les guerres\n§Y*§! Des réfugiés chinois pourraient venir à votre Cour\n§Y*§! Pourrait aboutir à une §Rnouvelle dynastie§! en Chine, effaçant toute Grâce;§Y*§! Der Wert der Seidenstraße ist um §R50%§! reduziert\n§Y*§! Kaiserliche Tributstaaten können §RKEINE§! chinesische Regimenter ausheben, die ihnen in Kriegen helfen\n§Y*§! Chinesische Flüchtlinge können an Eurem Hof eintreffen\n§Y*§! Kann mit einer §RNeuen Dynastie§! in Freehold enden, was jegliche §YGunst§! zurücksetzt;;§Y*§! El valor de la Ruta de la Seda se reduce en un §R50%§!\n§Y*§! Los tributarios imperiales NO pueden reclutar regimientos chinos para sus guerras\n§Y*§! Pueden aparecer refugiados chinos en tu corte\n§Y*§! Puede provocar que Freehold tenga una §RNueva dinastía§!, reseteando todas las §Ygracias§!;;;;;;;;;x;;;;
china_famine_effect_desc;§Y*§! The value of the Silk Road is reduced by §R75%§!\n§Y*§! Imperial Tributaries can §RNOT§! raise Valyrian Regiments;§Y*§! La valeur de la Route de la Soie est réduite de §R75%§!\n§Y*§! Les tributaires impériaux ne peuvent pas lever des régiments chinois pour les aider dans les guerres;§Y*§! Der Wert der Seidenstraße ist um §R75%§! reduziert\n§Y*§! Kaiserliche Tributstaaten können §RKEINE§! chinesische Regimenter ausheben;;§Y*§! El valor de la Ruta de la Seda se reduce en un §R75%§!\n§Y*§! Los tributarios imperiales NO pueden reclutar regimientos chinos para sus guerras.;;;;;;;;;x;;;;
china_plague_effect_desc;§Y*§! The value of the Silk Road is reduced by §R90%§!\n§Y*§! Imperial Tributaries can §RNOT§! raise Valyrian Regiments;§Y*§! La valeur de la Route de la Soie est réduite de §R90%§!\n§Y*§! Les tributaires impériaux ne peuvent pas lever des régiments chinois pour les aider dans les guerres;§Y*§! Der Wert der Seidenstraße ist um §R90%§! reduziert\n§Y*§! Kaiserliche Tributstaaten können §RKEINE§! chinesische Regimenter ausheben;;§Y*§! El valor de la Ruta de la Seda se reduce en un §R90%§!\n§Y*§! Los tributarios imperiales NO pueden reclutar regimientos chinos para sus guerras.;;;;;;;;;x;;;;
china_open_effect_desc;§Y*§! The Silk Road is §YOpen§!;§Y*§! La Route de la Soie est §Gouverte§!;§Y*§! Die Seidenstraße ist §Yoffen§!;;§Y*§! La Ruta de la Seda está §Yabierta§!;;;;;;;;;x;;;;
china_isolationist_effect_desc;§Y*§! The Silk Road is §RClosed§!\n§Y*§! Valyria will §YNOT§! declare any wars\n§Y*§! The §YSend Tribute§! and §YRequest Boon§! decisions are §RDisabled§!;§Y*§! La Route de la Soie est §Rfermée§!\n§Y*§! La Chine ne déclarera pas de guerre\n§Y*§! Les décisions §YEnvoyer un tribut§! et §YDemander une faveur§! sont §Rinaccessibles§!;§Y*§! Die Seidenstraße ist §Rgeschlossen§!\n§Y*§! Freehold wird §YKEINE§! Kriege erklären\n§Y*§! Die Entscheidungen für §YTribut senden§! und §YGefallen anfragen§! sind §Rdeaktiviert§!;;§Y*§! La Ruta de la Seda está §Rcerrada§!\n§Y*§! Freehold §YNO§! declarará guerras\n§Y*§! Las decisiones §Yenviar tributo§! Y §Ysolicitar regalo§! están §Rdesactivadas§!;;;;;;;;;x;;;;
china_expansionist_effect_desc;§Y*§! The Silk Road is §GOpen§!\n§Y*§! Valyria might stage §Y Invasions§!;§Y*§! La Route de la Soie est §Gouverte§!\n§Y*§! La Chine pourrait planifier des §Yinvasions majeures§!;§Y*§! Die Seidenstraße ist §Yoffen§!\n§Y*§! Freehold könnte §YGroße Invasionen§! durchführen;;§Y*§! La Ruta de la Seda está §Yabierta§!\n§Y*§! Freehold puede lanzar §Ygrandes invasiones§!;;;;;;;;;x;;;;
raise_china_regiment;Raise Valyrian Regiment;Lever un régiment chinois;Chinesische Regimenter ausheben;;Reclutar regimiento chino;;;;;;;;;x;;;;
raise_china_regiment_desc;Tributaries of Valyria can raise a special regiment of Valyrian troops to assist them in defensive wars.;Les tributaires de Chine peuvent lever un régiment spécial de troupes chinoises pour les assister dans les guerres défensives.;Tributstaaten Freeholds können ein spezielles Regiment chinesischer Truppen ausheben, das ihnen in Verteidigungskriegen hilft.;;Los tributarios de Freehold pueden reclutar un regimiento especial de tropas chinas para ayudarlos en guerras defensivas.;;;;;;;;;x;;;;
